Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10)
0.0,0.05595639656,0.054,0.0,0.0,0.0396970656799101,0.88,0.0,0.0,0.0,0.066,0.0,0.0
7.341993925167297e-24,0.05595639656,0.054,0.0,0.0,0.0396970656799101,0.88,0.0,0.0,0.0,0.066,0.0,1.6583123946512967e-18
2.055758299046843e-23,0.05595639656,0.054,0.0,0.0,0.0396970656799101,0.88,0.0,0.0,0.0,0.066,0.0,4.643274705023631e-18
4.69887611210707e-23,0.05595639656,0.054,0.0,0.0,0.03969706567991009,0.88,0.0,0.0,0.0,0.066,0.0,1.0613199325768299e-17
9.985111738227524e-23,0.05595639656,0.054,0.0,0.0,0.039697065679910076,0.88,0.0,0.0,0.0,0.066,0.0,2.2553048567257626e-17
2.0557582990468432e-22,0.05595639656,0.054,0.0,0.0,0.039697065679910055,0.88,0.0,0.0,0.0,0.066,0.0,4.6432747050236257e-17
4.170252549495025e-22,0.05595639656,0.054,0.0,0.0,0.03969706567991001,0.88,0.0,0.0,0.0,0.066,0.0,9.419214401619339e-17
8.399241050391388e-22,0.05595639656,0.054,0.0,0.0,0.03969706567990991,0.88,0.0,0.0,0.0,0.066,0.0,1.8971093794810722e-16
1.6857218052184115e-21,0.05595639656,0.054,0.0,0.0,0.039697065679909715,0.8799999999999999,0.0,0.0,0.0,0.066,0.0,3.8074852581193296e-16
3.3773172055769568e-21,0.05595639656,0.054,0.0,0.0,0.039697065679909334,0.8799999999999997,0.0,0.0,0.0,0.066,0.0,7.628237015395769e-16
6.760508006294047e-21,0.05595639656,0.054,0.0,0.0,0.03969706567990857,0.8799999999999993,0.0,0.0,0.0,0.066,0.0,1.5269740529948354e-15
1.3526889607728228e-20,0.05595639656,0.054,0.0,0.0,0.039697065679907044,0.8799999999999986,0.0,0.0,0.0,0.066,0.0,3.055274755905233e-15
2.705965281059659e-20,0.05595639656,0.054,0.0,0.0,0.039697065679903984,0.879999999999997,0.0,0.0,0.0,0.066,0.0,6.111876161725553e-15
5.412517921633331e-20,0.05595639656,0.054,0.0,0.0,0.03969706567989787,0.8799999999999939,0.0,0.0,0.0,0.066,0.0,1.2225078973364286e-14
