Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),NH3_X(22),O2_ads(49)
0.0,0.05595639656,0.054,0.0,0.0,0.0396970656799101,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0
7.979829406881739e-24,0.05595639656,0.054,0.0,0.0,0.03969706567991009,0.88,0.0,0.0,0.0,0.066,0.0,1.8023782296078862e-18,3.785122567785749e-20,4.5633328418290584e-58
2.2343522339268867e-23,0.05595639656,0.054,0.0,0.0,0.0396970656799101,0.88,0.0,0.0,0.0,0.066,0.0,5.0466590429020835e-18,1.0598343189800092e-19,6.8961081606875e-57
5.107090820404313e-23,0.05595639656,0.054,0.0,0.0,0.03969706567991009,0.88,0.0,0.0,0.0,0.066,0.0,1.1535220669490473e-17,2.4224784433828743e-19,7.418518441824051e-56
1.0852567993359164e-22,0.05595639656,0.054,0.0,0.0,0.039697065679910076,0.88,0.0,0.0,0.0,0.066,0.0,2.451234392266725e-17,5.147766692188591e-19,6.818896543135104e-55
2.2343522339268866e-22,0.05595639656,0.054,0.0,0.0,0.03969706567991005,0.88,0.0,0.0,0.0,0.066,0.0,5.046659042902077e-17,1.0598343189799968e-18,5.833709553863591e-54
4.532543103108827e-22,0.05595639656,0.054,0.0,0.0,0.03969706567990999,0.88,0.0,0.0,0.0,0.066,0.0,1.0237508344172766e-16,2.149949618502251e-18,4.82342387034006e-53
9.12892484147271e-22,0.05595639656,0.054,0.0,0.0,0.03969706567990989,0.88,0.0,0.0,0.0,0.066,0.0,2.0619206946714088e-16,4.330180217546672e-18,3.92232818327213e-52
1.8321688318200472e-21,0.05595639656,0.054,0.0,0.0,0.039697065679909674,0.8799999999999999,0.0,0.0,0.0,0.066,0.0,4.13826041517965e-16,8.690641415635164e-18,3.163499771566547e-51
3.6707215271656e-21,0.05595639656,0.054,0.0,0.0,0.03969706567990925,0.8799999999999997,0.0,0.0,0.0,0.06599999999999999,0.0,8.290939856196043e-16,1.7411563811810744e-17,2.5410950480495343e-50
7.347826917856705e-21,0.05595639656,0.054,0.0,0.0,0.039697065679908404,0.8799999999999992,0.0,0.0,0.0,0.06599999999999998,0.0,1.6596298738228475e-15,3.485340860415632e-17,2.037002194310798e-49
1.4702037699238916e-20,0.05595639656,0.054,0.0,0.0,0.03969706567990671,0.8799999999999985,0.0,0.0,0.0,0.06599999999999993,0.0,3.3207016502291895e-15,6.97370981888251e-17,1.6312538190235242e-48
2.9410459262003334e-20,0.05595639656,0.054,0.0,0.0,0.03969706567990332,0.8799999999999968,0.0,0.0,0.0,0.06599999999999986,0.0,6.6428452030413005e-15,1.3950447735807316e-16,1.3056641821087809e-47
5.882730238753218e-20,0.05595639656,0.054,0.0,0.0,0.03969706567989653,0.8799999999999935,0.0,0.0,0.0,0.06599999999999973,0.0,1.3287132308663228e-14,2.7903923569621135e-16,1.0447958266374997e-46
