Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),NH3_X(22),O2_ads(49),H2NX(30)
0.0,0.05595639656,0.054,0.0,0.0,0.0396970656799101,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0
8.28106033289255e-24,0.05595639656,0.054,0.0,0.0,0.03969706567991009,0.88,0.0,0.0,0.0,0.066,0.0,1.8704162834863676e-18,3.9280073235895793e-20,5.099870357631605e-58,0.0
2.318696893209914e-23,0.05595639656,0.054,0.0,0.0,0.0396970656799101,0.88,0.0,0.0,0.0,0.066,0.0,5.237165593761832e-18,1.0998420506050817e-19,7.706924192870166e-57,0.0
5.299878613051231e-23,0.05595639656,0.054,0.0,0.0,0.03969706567991009,0.88,0.0,0.0,0.0,0.066,0.0,1.1970664214312757e-17,2.5139246870973255e-19,8.29075736676565e-56,0.0
1.126224205273387e-22,0.05595639656,0.054,0.0,0.0,0.039697065679910076,0.88,0.0,0.0,0.0,0.066,0.0,2.54376614554146e-17,5.3420899600817985e-19,7.62063439172157e-55,0.0
2.318696893209914e-22,0.05595639656,0.054,0.0,0.0,0.03969706567991005,0.88,0.0,0.0,0.0,0.066,0.0,5.237165593761825e-17,1.0998420506050687e-18,6.519613162939986e-54,0.0
4.703642269082968e-22,0.05595639656,0.054,0.0,0.0,0.03969706567990999,0.88,0.0,0.0,0.0,0.066,0.0,1.0623964490202541e-16,2.2311081597988224e-18,5.3905422381632e-53,0.0
9.473533020829078e-22,0.05595639656,0.054,0.0,0.0,0.03969706567990988,0.88,0.0,0.0,0.0,0.066,0.0,2.1397562283083907e-16,4.493640378186236e-18,4.383499421095395e-52,0.0
1.9013314524321298e-21,0.05595639656,0.054,0.0,0.0,0.03969706567990966,0.8799999999999999,0.0,0.0,0.0,0.066,0.0,4.2944757868846407e-16,9.018704814960686e-18,3.5354510812535104e-51,0.0
3.809287753130574e-21,0.05595639656,0.054,0.0,0.0,0.03969706567990922,0.8799999999999997,0.0,0.0,0.0,0.06599999999999999,0.0,8.603914904037044e-16,1.8068833688508083e-17,2.8398665664564604e-50,0.0
7.625200354527462e-21,0.05595639656,0.054,0.0,0.0,0.03969706567990834,0.8799999999999992,0.0,0.0,0.0,0.06599999999999998,0.0,1.7222793138341464e-15,3.6169091435596866e-17,2.276504545024361e-49,0.0
1.5257025557321235e-20,0.05595639656,0.054,0.0,0.0,0.03969706567990658,0.8799999999999983,0.0,0.0,0.0,0.06599999999999993,0.0,3.4460549606948748e-15,7.23696069297503e-17,1.823049941688311e-48,0.0
3.052067596290878e-20,0.05595639656,0.054,0.0,0.0,0.03969706567990306,0.8799999999999966,0.0,0.0,0.0,0.06599999999999986,0.0,6.893606254415715e-15,1.4477063791796083e-16,1.459178811615576e-47,0.0
6.104797677408388e-20,0.05595639656,0.054,0.0,0.0,0.03969706567989602,0.8799999999999931,0.0,0.0,0.0,0.06599999999999973,0.0,1.3788708841854922e-14,2.895726998939964e-16,1.1676386248918078e-46,0.0
1.221025783964341e-19,0.05595639656,0.054,0.0,0.0,0.03969706567988194,0.8799999999999862,0.0,0.0,0.0,0.06599999999999943,0.0,2.757891401672345e-14,5.791768238445256e-16,9.342290807575129e-46,0.0
2.442117816411345e-19,0.05595639656,0.054,0.0,0.0,0.03969706567985378,0.8799999999999725,0.0,0.0,0.0,0.06599999999999885,0.0,5.5159324366420934e-14,1.1583850717394168e-15,7.474304376971171e-45,0.0
4.884301881305352e-19,0.05595639656,0.054,0.0,0.0,0.039697065679797465,0.8799999999999449,0.0,0.0,0.0,0.0659999999999977,0.0,1.1032014506565766e-13,2.3168015675045275e-15,5.979630565570651e-44,0.0
9.76867001109337e-19,0.05595639656,0.054,0.0,0.0,0.039697065679684826,0.8799999999998898,0.0,0.0,0.0,0.06599999999999538,0.0,2.2064178646349814e-13,4.6336345589360675e-15,4.783776664578559e-43,0.0
1.95374062706694e-18,0.05595639656,0.054,0.0,0.0,0.03969706567945955,0.8799999999997794,0.0,0.0,0.0,0.06599999999999075,0.0,4.4128506925664723e-13,9.267300541404418e-15,3.827046033344166e-42,0.0
3.907487878982146e-18,0.05595639656,0.054,0.0,0.0,0.03969706567900899,0.8799999999995588,0.0,0.0,0.0,0.06599999999998148,0.0,8.825716348328177e-13,1.8534632504762202e-14,3.061640013989485e-41,0.0
7.814982382812559e-18,0.05595639656,0.054,0.0,0.0,0.039697065678107886,0.8799999999991175,0.0,0.0,0.0,0.06599999999996294,0.0,1.7651447659446483e-12,3.7069296425162114e-14,2.4493025767848984e-40,0.0
1.5629971390473386e-17,0.05595639656,0.054,0.0,0.0,0.03969706567630567,0.8799999999982349,0.0,0.0,0.0,0.06599999999992587,0.0,3.5302910280062656e-12,7.413862424069925e-14,1.9594211530588872e-39,0.0
3.125994940579503e-17,0.05595639656,0.054,0.0,0.0,0.03969706567270124,0.8799999999964697,0.0,0.0,0.0,0.06599999999985173,0.0,7.06058355148133e-12,1.4827727977072288e-13,1.5675011448093967e-38,0.0
6.251990543643833e-17,0.05595639656,0.054,0.0,0.0,0.03969706566549237,0.8799999999929394,0.0,0.0,0.0,0.06599999999970345,0.0,1.412116859583877e-11,2.9655459042656744e-13,1.2539427453919632e-37,0.0
1.2503981749772492e-16,0.05595639656,0.054,0.0,0.0,0.03969706565107465,0.8799999999858789,0.0,0.0,0.0,0.0659999999994069,0.0,2.8242338674182915e-11,5.931092101214459e-13,1.0030607641741155e-36,0.0
2.500796416202981e-16,0.05595639656,0.054,0.0,0.0,0.0396970656222392,0.8799999999717577,0.0,0.0,0.0,0.06599999999881379,0.0,5.6484678789388243e-11,1.1862184430439608e-12,8.022990116076927e-36,0.0
5.001592898654445e-16,0.05595639656,0.054,0.0,0.0,0.039697065564568305,0.8799999999435154,0.0,0.0,0.0,0.06599999999762757,0.0,1.1296935885386706e-10,2.372436883020022e-12,6.415999197751429e-35,0.0
1.0003185863557374e-15,0.05595639656,0.054,0.0,0.0,0.03969706544922651,0.8799999998870307,0.0,0.0,0.0,0.06599999999525513,0.0,2.2593871831909737e-10,4.744873659496277e-12,5.1289746296892634e-34,0.0
2.0006371793363233e-15,0.05595639656,0.054,0.0,0.0,0.03969706521854292,0.8799999997740613,0.0,0.0,0.0,0.06599999999051026,0.0,4.5187743459464856e-10,9.48974679854534e-12,4.0970732637464774e-33,0.0
3.0009557723169087e-15,0.05595639656,0.054,0.0,0.0,0.039697064987859326,0.8799999996610919,0.0,0.0,0.0,0.06599999998576539,0.0,6.778161482152904e-10,1.4234619523690994e-11,1.2153256098776189e-32,0.0
4.001274365297494e-15,0.05595639656,0.054,0.0,0.0,0.03969706475717575,0.8799999995481225,0.0,0.0,0.0,0.06599999998102052,0.0,9.03754859181023e-10,1.8979491834933275e-11,2.646177012708936e-32,0.0
6.001911551258665e-15,0.05595639656,0.054,0.0,0.0,0.03969706429580859,0.8799999993221839,0.0,0.0,0.0,0.06599999997153078,0.0,1.3556322748815789e-09,2.846923548601206e-11,7.671851548052297e-32,0.0
8.002548737219836e-15,0.05595639656,0.054,0.0,0.0,0.03969706383444144,0.8799999990962452,0.0,0.0,0.0,0.06599999996204103,0.0,1.807509680819087e-09,3.795897761502079e-11,1.6759654274420748e-31,0.0
1.0003185923181007e-14,0.05595639656,0.054,0.0,0.0,0.03969706337307431,0.8799999988703064,0.0,0.0,0.0,0.06599999995255129,0.0,2.259387076296187e-09,4.7448718113240417e-11,3.140814233922471e-31,0.0
1.2003823109142177e-14,0.05595639656,0.054,0.0,0.0,0.03969706291170718,0.8799999986443677,0.0,0.0,0.0,0.06599999994306155,0.0,2.7112644611222682e-09,5.693845695095481e-11,5.310470221720616e-31,0.0
