Time (s),Volume (m^3),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
0.0,0.043484688560000005,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025733003822058596,0.88,0.0,0.0,0.0,0.066,0.0
6.6434072109321275e-28,0.043484688560000005,0.054,0.0,9.638534504214161e-23,0.0,0.0,1.679579270564724e-22,0.0,0.0,0.025733003822058596,0.88,0.0,0.0,0.0,0.066,0.0
1.8601540190609955e-27,0.043484688560000005,0.054,0.0,2.6987896611799653e-22,0.0,0.0,4.702821957581227e-22,0.0,0.0,0.025733003822058596,0.88,0.0,0.0,0.0,0.066,0.0
4.251780614996561e-27,0.043484688560000005,0.054,0.0,6.168662082697063e-22,0.0,0.0,1.0749307331614234e-21,0.0,0.0,0.025733003822058596,0.88,0.0,0.0,0.0,0.066,0.0
9.035033806867693e-27,0.043484688560000005,0.054,0.0,1.3108406925731261e-21,0.0,0.0,2.2842278079680246e-21,0.0,0.0,0.025733003822058596,0.88,0.0,0.0,0.0,0.066,0.0
1.8601540190609956e-26,0.043484688560000005,0.054,0.0,2.6987896611799657e-21,0.0,0.0,4.702821957581227e-21,0.0,0.0,0.025733003822058596,0.88,0.0,0.0,0.0,0.066,0.0
3.773455295809448e-26,0.043484688560000005,0.054,0.0,5.474687598393644e-21,0.0,0.0,9.540010256807631e-21,0.0,0.0,0.025733003822058596,0.88,0.0,0.0,0.0,0.066,0.0
7.600057849306354e-26,0.043484688560000005,0.054,0.0,1.1026483472821002e-20,0.0,0.0,1.921438685526044e-20,0.0,0.0,0.025733003822058596,0.88,0.0,0.0,0.0,0.066,0.0
1.5253262956300163e-25,0.043484688560000005,0.054,0.0,2.2130075221675716e-20,0.0,0.0,3.856314005216606e-20,0.0,0.0,0.025733003822058596,0.88,0.0,0.0,0.0,0.066,0.0
3.0559673170287784e-25,0.043484688560000005,0.054,0.0,4.4337258719385143e-20,0.0,0.0,7.72606464459773e-20,0.0,0.0,0.025733003822058596,0.88,0.0,0.0,0.0,0.066,0.0
6.117249359826303e-25,0.043484688560000005,0.054,0.0,8.8751625714804e-20,0.0,0.0,1.546556592335998e-19,0.0,0.0,0.025733003822058596,0.88,0.0,0.0,0.0,0.066,0.0
1.2239813445421352e-24,0.043484688560000005,0.054,0.0,1.7758035970564173e-19,0.0,0.0,3.094456848088447e-19,0.0,0.0,0.025733003822058596,0.88,0.0,0.0,0.0,0.066,0.0
2.4484941616611447e-24,0.043484688560000005,0.054,0.0,3.552378276873172e-19,0.0,0.0,6.190257359593344e-19,0.0,0.0,0.025733003822058596,0.88,0.0,0.0,0.0,0.066,0.0
4.897519795899164e-24,0.043484688560000005,0.054,0.0,7.105527636506681e-19,0.0,0.0,1.2381858382603137e-18,0.0,0.0,0.025733003822058596,0.88,0.0,0.0,0.0,0.066,0.0
9.795571064375203e-24,0.043484688560000005,0.054,0.0,1.4211826355773694e-18,0.0,0.0,2.47650604286227e-18,0.0,0.0,0.025733003822058592,0.88,0.0,0.0,0.0,0.066,0.0
1.9591673601327282e-23,0.043484688560000005,0.054,0.0,2.842442379430772e-18,0.0,0.0,4.9531464520661766e-18,0.0,0.0,0.02573300382205859,0.88,0.0,0.0,0.0,0.066,0.0
3.9183878675231437e-23,0.043484688560000005,0.054,0.0,5.684961867137576e-18,0.0,0.0,9.906427270473964e-18,0.0,0.0,0.025733003822058582,0.88,0.0,0.0,0.0,0.066,0.0
7.836828882303975e-23,0.043484688560000005,0.054,0.0,1.1370000842551176e-17,0.0,0.0,1.9812988907289444e-17,0.0,0.0,0.025733003822058568,0.88,0.0,0.0,0.0,0.06599999999999999,0.0
1.5673710911865636e-22,0.043484688560000005,0.054,0.0,2.2740078793378345e-17,0.0,0.0,3.9626112180919994e-17,0.0,0.0,0.025733003822058537,0.88,0.0,0.0,0.0,0.06599999999999998,0.0
3.134747497098896e-22,0.043484688560000005,0.054,0.0,4.5480234695032576e-17,0.0,0.0,7.925235872817948e-17,0.0,0.0,0.025733003822058474,0.88,0.0,0.0,0.0,0.06599999999999993,0.0
6.26950030892356e-22,0.043484688560000005,0.054,0.0,9.096054649834061e-17,0.0,0.0,1.58504851822692e-16,0.0,0.0,0.02573300382205835,0.88,0.0,0.0,0.0,0.06599999999999985,0.0
1.253900593257289e-21,0.043484688560000005,0.054,0.0,1.8192117010495493e-16,0.0,0.0,3.1700983801169105e-16,0.0,0.0,0.0257330038220581,0.88,0.0,0.0,0.0,0.0659999999999997,0.0
2.507801717987155e-21,0.043484688560000005,0.054,0.0,3.6384241731817646e-16,0.0,0.0,6.340198103895856e-16,0.0,0.0,0.0257330038220576,0.8799999999999999,0.0,0.0,0.0,0.06599999999999938,0.0
5.015603967446887e-21,0.043484688560000005,0.054,0.0,7.27684911744591e-16,0.0,0.0,1.2680397551449603e-15,0.0,0.0,0.0257330038220566,0.8799999999999997,0.0,0.0,0.0,0.06599999999999874,0.0
1.003120846636635e-20,0.043484688560000005,0.054,0.0,1.4553699005973072e-15,0.0,0.0,2.5360796446540534e-15,0.0,0.0,0.025733003822054606,0.8799999999999993,0.0,0.0,0.0,0.06599999999999748,0.0
2.0062417464205278e-20,0.043484688560000005,0.054,0.0,2.9107398783022874e-15,0.0,0.0,5.072159423665613e-15,0.0,0.0,0.025733003822050616,0.8799999999999986,0.0,0.0,0.0,0.06599999999999494,0.0
