Time (s),Volume (m^3),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),H2OX(12)
0.0,0.066515776,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,0.0
9.231074258795036e-28,0.066515776,0.938,0.0,1.8127165133123876e-24,0.0,6.477971325900522e-63,1.2067229161050736e-25,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,1.999917485723858e-22
2.5847007924626104e-27,0.066515776,0.938,0.0,5.075606237274685e-24,0.0,9.78951060162804e-62,3.3788241650942064e-25,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,5.599768960026802e-22
5.9078875256288236e-27,0.066515776,0.938,0.0,1.1601385685199282e-23,0.0,1.0531108807402496e-60,7.723026663072472e-25,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,1.2799471908632683e-21
1.2554260991961251e-26,0.066515776,0.938,0.0,2.4652944581048473e-23,0.0,9.679903346216086e-60,1.6411431659029001e-24,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,2.7198877805844417e-21
2.5847007924626105e-26,0.066515776,0.938,0.0,5.0756062372746855e-23,0.0,8.281361109851973e-59,3.378824165094206e-24,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,5.599768960026779e-21
5.243250178995582e-26,0.066515776,0.938,0.0,1.0296229795614362e-22,0.0,6.847189511464557e-58,6.854186163476818e-24,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,1.1359531318911409e-20
1.0560348952061522e-25,0.066515776,0.938,0.0,2.0737476912293715e-22,0.0,5.568020795478979e-57,1.3804910160242042e-23,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,2.2879056036680496e-20
2.119454649819341e-25,0.066515776,0.938,0.0,4.1619971145652424e-22,0.0,4.49081048695968e-56,2.7706358153772485e-23,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,4.5918105472217995e-20
4.246294159045717e-25,0.066515776,0.938,0.0,8.338495961236984e-22,0.0,3.607263203876845e-55,5.550925414083338e-23,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,9.199620434329026e-20
