Time (s),Volume (m^3),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),H2OX(12),HX(9)
0.0,0.066515776,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,0.0,0.0
9.515173551591514e-28,0.066515776,0.938,0.0,1.868505413394291e-24,0.0,7.9508759518318335e-28,1.2438615109701424e-25,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,2.0614677590091283e-22,7.950875951831836e-28
2.6642485944456242e-27,0.066515776,0.938,0.0,5.2318151575040144e-24,0.0,2.2262452665129125e-27,3.482812230716399e-25,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,5.772109725225559e-22,2.2262452665129153e-27
6.0897110730185695e-27,0.066515776,0.938,0.0,1.1958434645723461e-23,0.0,5.088560609172367e-27,7.960713670208911e-25,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,1.319339365765841e-21,5.0885606091723825e-27
1.294063603016446e-26,0.066515776,0.938,0.0,2.5411673622162358e-23,0.0,1.0813191294491262e-26,1.6916516549193936e-24,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,2.8035961522524086e-21,1.081319129449133e-26
2.664248594445624e-26,0.066515776,0.938,0.0,5.231815157504014e-23,0.0,2.2262452665128993e-26,3.482812230716399e-24,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,5.7721097252255325e-21,2.2262452665129285e-26
5.40461857730398e-26,0.066515776,0.938,0.0,1.061311074807957e-22,0.0,4.5160975406404234e-26,7.065133382310409e-24,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,1.1709136871171735e-20,4.5160975406405416e-26
1.0885358543020692e-25,0.066515776,0.938,0.0,2.137570192923069e-22,0.0,9.095802088895377e-26,1.422977568549843e-23,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,2.3583191163063958e-20,9.095802088895861e-26
2.184683847445412e-25,0.066515776,0.938,0.0,4.290088429153291e-22,0.0,1.8255211185404919e-25,2.8559060291874463e-23,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,4.733129974684768e-20,1.8255211185406868e-25
4.376979833732097e-25,0.066515776,0.938,0.0,8.595124901613737e-22,0.0,3.657402937842253e-25,5.721762950462654e-23,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,9.482751691441222e-20,3.6574029378430353e-25
8.761571806305466e-25,0.066515776,0.938,0.0,1.7205197846534632e-21,0.0,7.321166576445188e-25,1.1453476793013066e-22,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,1.898199512495297e-19,7.321166576448322e-25
1.7530755751452208e-24,0.066515776,0.938,0.0,3.442534373637642e-21,0.0,1.4648693853648699e-24,2.2916904478113893e-22,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,3.798048199197182e-19,1.464869385366125e-24
3.506912364174569e-24,0.066515776,0.938,0.0,6.886563551606002e-21,0.0,2.93037484080463e-24,4.584375984831551e-22,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,7.597745572599095e-19,2.9303748408096527e-24
7.014585942233266e-24,0.066515776,0.938,0.0,1.377462190754272e-20,0.0,5.861385751680382e-24,9.169747058871868e-22,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,1.5197140319395488e-18,5.861385751700476e-24
1.402993309835066e-23,0.066515776,0.938,0.0,2.755073861941618e-20,0.0,1.1723407573416815e-23,1.8340489206952475e-21,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,3.0395929812958556e-18,1.1723407573497195e-23
2.8060627410585446e-23,0.066515776,0.938,0.0,5.510297204316317e-20,0.0,2.3447451216829388e-23,3.668197350311358e-21,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,6.07935087999658e-18,2.344745121715092e-23
5.612201603505502e-23,0.066515776,0.938,0.0,1.1020743889065732e-19,0.0,4.6895538503413365e-23,7.336494209543532e-21,0.0,0.0,0.03936214733775693,0.01,0.049999999999999996,0.0,0.0,0.002,0.0,1.2158866677350471e-17,4.689553850469952e-23
1.1224479328399417e-22,0.066515776,0.938,0.0,2.2041637258564656e-19,0.0,9.379171307561664e-23,1.4673087928007692e-20,0.0,0.0,0.03936214733775691,0.01,0.04999999999999998,0.0,0.0,0.002,0.0,2.431789827186803e-17,9.379171308076132e-23
2.244903477818724e-22,0.066515776,0.938,0.0,4.408342399756286e-19,0.0,1.875840622161645e-22,2.9346275364935264e-20,0.0,0.0,0.039362147337756885,0.01,0.049999999999999954,0.0,0.0,0.002,0.0,4.8635961460142234e-17,1.8758406223674328e-22
4.489814567776289e-22,0.066515776,0.938,0.0,8.81669974755607e-19,0.0,3.7516876048182536e-22,5.869265023878745e-20,0.0,0.0,0.039362147337756836,0.01,0.049999999999999906,0.0,0.0,0.002,0.0,9.727208783364698e-17,3.7516876056414076e-22
8.979636747691419e-22,0.066515776,0.938,0.0,1.7633414443156213e-18,0.0,7.503381569514081e-22,1.1738539998647994e-19,0.0,0.0,0.03936214733775674,0.01,0.04999999999999981,0.0,0.0,0.002,0.0,1.9454434056848187e-16,7.503381572806699e-22
1.7959281107521682e-21,0.066515776,0.938,0.0,3.5266843834358786e-18,0.0,1.5006769496436167e-21,2.347708994818174e-19,0.0,0.0,0.039362147337756545,0.009999999999999998,0.049999999999999614,0.0,0.0,0.002,0.0,3.8908884598945333e-16,1.5006769509606658e-21
3.591856982718221e-21,0.066515776,0.938,0.0,7.053370261677308e-18,0.0,3.001354534040208e-21,4.695418984723018e-19,0.0,0.0,0.03936214733775615,0.009999999999999997,0.049999999999999226,0.0,0.0,0.0019999999999999996,0.0,7.781778566366024e-16,3.001354539308405e-21
7.183714726650325e-21,0.066515776,0.938,0.0,1.410674201816384e-17,0.0,6.002709698882084e-21,9.3908389645251e-19,0.0,0.0,0.039362147337755365,0.009999999999999993,0.04999999999999845,0.0,0.0,0.001999999999999999,0.0,1.5563558771517268e-15,6.0027097199548764e-21
1.4367430214514536e-20,0.066515776,0.938,0.0,2.821348553115158e-17,0.0,1.2005420012760614e-20,1.8781678924098827e-18,0.0,0.0,0.0393621473377538,0.009999999999999986,0.049999999999996894,0.0,0.0,0.0019999999999999983,0.0,3.112711915065278e-15,1.2005420097051792e-20
2.873486119024295e-20,0.066515776,0.938,0.0,5.642697255718571e-17,0.0,2.4010840577296787e-20,3.7563358843124504e-18,0.0,0.0,0.039362147337750654,0.009999999999999972,0.04999999999999378,0.0,0.0,0.0019999999999999966,0.0,6.2254239784255916e-15,2.4010840914461503e-20
