Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),H2O_X(16),He,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
0.0,0.041572359999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.01474630968793094,0.88,0.0,0.0,0.0,0.066,0.0
1.2417174619035663e-27,0.041572359999999996,1.8398869072127437e-22,1.0558485538499932e-22,1.1042344707207648e-70,1.1042344707207648e-70,-6.876733030344924e-104,8.792728252915304e-144,-3.336201327214467e-189,2.6875117818808744e-145,4.32328845436283e-108,0.054,0.0,0.01474630968793094,0.88,3.309877879039405e-126,1.2071722657990427e-198,-7.154310758667273e-218,0.066,-2.964073454561611e-271
3.476808893329986e-27,0.041572359999999996,5.151683340195682e-22,2.956375950779982e-22,1.6687190472666804e-69,1.6687190472666804e-69,6.794652123716089e-103,2.4456565681589293e-142,3.166596581117903e-187,7.475189329524562e-144,2.8387116613284666e-107,0.054,0.0,0.01474630968793094,0.88,4.242922015188038e-125,4.5370071597820754e-197,1.2151540807321804e-215,0.066,4.0537131100400484e-269
7.946991756182825e-27,0.041572359999999996,1.177527620616156e-21,6.757430744639961e-22,1.795131797174908e-68,1.795131797174908e-68,3.747555311976732e-101,5.969112197073536e-140,3.573514756933992e-184,1.8244689128968997e-141,4.966595034898515e-106,0.054,0.0,0.01474630968793094,0.88,1.4112891416971585e-123,2.372852175629198e-194,2.759973311379559e-212,0.066,9.766758849788076e-266
1.6887357481888503e-26,0.041572359999999996,2.5022461938093316e-21,1.435954033235992e-21,1.6500353950848076e-67,1.6500353950848076e-67,1.4749081809605724e-99,1.0003037410089811e-137,2.5464288239334036e-181,3.0574447567263216e-139,8.718976608318863e-105,0.054,0.0,0.01474630968793094,0.88,4.947261708228836e-122,7.914325334614738e-192,3.9344528683111675e-209,0.066,1.3848690561705713e-262
3.4768088933299854e-26,0.041572359999999996,5.1516833401956825e-21,2.956375950779983e-21,1.4116400196641646e-66,1.4116400196641646e-66,5.211183249653369e-98,1.4566183032730546e-135,1.5272472617985773e-178,4.452177684951293e-137,1.4816656613838476e-103,0.054,0.0,0.01474630968793094,0.88,1.682939994025107e-120,2.299693772413595e-189,4.720082143064568e-206,0.066,1.6571836061965052e-259
7.052955183612256e-26,0.041572359999999996,1.0450557632968384e-20,5.9972197858679654e-21,1.1671712666953638e-65,1.1671712666953638e-65,1.7507396984796805e-96,1.9863467322960497e-133,8.450838615126597e-176,6.071301298515309e-135,2.5080971484458194e-102,0.054,0.0,0.01474630968793094,0.88,5.698414561639384e-119,6.26466021921537e-187,5.223967025563941e-203,0.066,1.8316751721762527e-256
1.4205247764176798e-25,0.041572359999999996,2.1048306218513788e-20,1.2078907456043932e-20,9.49124290186388e-65,9.49124290186388e-65,5.739167597573093e-95,2.623579338478178e-131,4.496535712290301e-173,8.019013189123686e-133,4.339785279249128e-101,0.054,0.0,0.01474630968793094,0.88,1.9707485963546895e-117,1.6538842304279058e-184,5.559354471978391e-200,0.066,1.9479562133896182e-253
2.850983292530588e-25,0.041572359999999996,4.2243803389604595e-20,2.424228279639586e-20,7.65503124423984e-64,7.65503124423984e-64,1.858725333427061e-93,3.411057177894274e-129,2.3467382615995225e-170,1.0425952094223948e-130,7.899039841978229e-100,0.054,0.0,0.01474630968793094,0.88,7.163733655786284e-116,4.299299487135836e-182,5.80295156922256e-197,0.066,2.0326166625816547e-250
5.711900324756404e-25,0.041572359999999996,8.46347977317862e-20,4.856903347709972e-20,6.148937393830975e-63,6.148937393830975e-63,5.983672280904635e-92,4.400317166089664e-127,1.2130637324948852e-167,1.3449641439694733e-128,1.562330311405042e-98,0.054,0.0,0.01474630968793094,0.88,2.8274715706379237e-114,1.1090630155710582e-179,5.999318593120786e-194,0.066,2.1010379582938208e-247
