Time (s),Volume (m^3),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),H2OX(12),HX(9),NH2_X(20),NH_X(21)
0.0,0.066515776,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0
1.0059260126774223e-27,0.066515776,0.938,2.4020342750643162e-114,1.9753483107489072e-24,3.768660046524079e-71,8.405514518630353e-28,1.314986682343621e-25,0.0,0.0,0.039362147337756934,0.01,0.05,5.850310707544811e-121,5.822099547718203e-136,0.002,0.0,2.1793444248174204e-22,5.746529219290792e-25,5.738123704772162e-25,3.441392338284616e-49
2.8165928354967824e-27,0.066515776,0.938,1.4612746685327615e-112,5.53097527009694e-24,4.474153207233391e-70,2.3535440652164978e-27,3.6819627105621385e-25,0.0,0.0,0.039362147337756934,0.01,0.05,2.902916210160727e-109,6.433582086339195e-134,0.002,0.0,6.102164389488775e-22,1.609028181401422e-24,1.6066746373362057e-24,2.07860097232391e-48
6.437926481135503e-27,0.066515776,0.938,6.596892357618158e-111,1.2642229188793006e-23,4.392750150228479e-69,5.3795292919234184e-27,8.415914766999173e-25,0.0,0.0,0.039362147337756934,0.01,0.05,5.598481262442145e-108,5.820621310927078e-132,0.002,0.0,1.3947804318831477e-21,3.677778700346107e-24,3.6723991710541845e-24,1.0007568919731693e-47
1.3680593772412945e-26,0.066515776,0.938,2.49086103322595e-109,2.6864737026185137e-23,3.88533776156449e-68,1.1431499745337243e-26,1.788381887987324e-24,0.0,0.0,0.039362147337756934,0.01,0.05,9.583770516668578e-107,4.405133962132121e-130,0.002,0.0,2.9639084177516847e-21,7.815279738235478e-24,7.803848238490143e-24,4.370568269621493e-47
2.816592835496783e-26,0.066515776,0.938,8.64195404573221e-108,5.53097527009694e-23,3.265860497757067e-67,2.353544065216483e-26,3.681962710562138e-24,0.0,0.0,0.039362147337756934,0.01,0.05,1.5821308047660058e-105,3.0603536821507585e-128,0.002,0.0,6.102164389488746e-21,1.609028181401422e-23,1.6066746373362057e-23,1.8246262177585303e-46
5.713659752007758e-26,0.066515776,0.938,2.8781315133638427e-106,1.121997840505379e-22,2.677549751041606e-66,4.774332246581974e-26,7.469124355711765e-24,0.0,0.0,0.039362147337756934,0.01,0.05,2.5702544535406836e-104,2.0397127683510093e-126,0.002,0.0,1.2378676332962818e-20,3.26402859655717e-23,3.259254264310589e-23,7.454193460418236e-46
1.150779358502971e-25,0.066515776,0.938,9.394700621823907e-105,2.2597984674967495e-22,2.1683492085587774e-65,9.615908609312854e-26,1.504344764601102e-23,0.0,0.0,0.039362147337756934,0.01,0.05,4.143469573220845e-103,1.3320105587669321e-124,0.002,0.0,2.4931700219910762e-20,6.574029426868667e-23,6.564413518259355e-23,3.013104179000603e-45
2.3096061251073612e-25,0.066515776,0.938,3.0362049029142354e-103,4.53539972147949e-22,1.7452760851659398e-64,1.9299061334774204e-25,3.0192094226609524e-23,0.0,0.0,0.039362147337756934,0.01,0.05,6.6543999066806594e-102,8.611016987408764e-123,0.002,0.0,5.003774799380584e-20,1.3194031087491662e-22,1.3174732026156887e-22,1.2115559382626012e-44
4.627259658316143e-25,0.066515776,0.938,9.763979950027052e-102,9.086602229444973e-22,1.400474144697213e-63,3.866536678569525e-25,6.048938738780655e-23,0.0,0.0,0.039362147337756934,0.01,0.05,1.0666918585460256e-100,5.538787273191267e-121,0.002,0.0,1.0024984354159275e-19,2.643403440873765e-22,2.639536904195195e-22,4.85888119407122e-44
9.262566724733706e-25,0.066515776,0.938,3.132196179805529e-100,1.8189007245375937e-21,1.1220835440502086e-62,7.739797768753077e-25,1.2108397371020057e-22,0.0,0.0,0.039362147337756934,0.01,0.05,1.7082972710871788e-99,3.5537265584183425e-119,0.002,0.0,2.0067403463715359e-19,5.291404105122964e-22,5.283664307354208e-22,1.9460868566025767e-43
1.853318085756883e-24,0.066515776,0.938,1.0035402125255761e-98,3.639381727723787e-21,8.983491100726566e-62,1.548631994911755e-24,2.422731463549886e-22,0.0,0.0,0.039362147337756934,0.01,0.05,2.7345478715346136e-98,2.2772381978279467e-117,0.002,0.0,4.0152241682822336e-19,1.0587405433621363e-21,1.0571919113672234e-21,7.789419075130948e-43
3.707440912323908e-24,0.066515776,0.938,3.213310032805767e-97,7.280343734096176e-21,7.189523146928515e-61,3.0979364309835965e-24,4.846514916445643e-22,0.0,0.0,0.039362147337756934,0.01,0.05,4.3762943846814714e-97,1.4583461649163188e-115,0.002,0.0,8.032191812101552e-19,2.1179408090618172e-21,2.1148428726308283e-21,3.116782248875782e-42
7.415686565457959e-24,0.066515776,0.938,1.0285763435149085e-95,1.4562267746840954e-20,5.752710857490358e-60,6.196545303123069e-24,9.69408182223715e-22,0.0,0.0,0.039362147337756934,0.01,0.05,7.002885247681619e-96,9.336340465134886e-114,0.002,0.0,1.6066127099731885e-18,4.2363413404611836e-21,4.2301447951580385e-21,1.2469158522245434e-41
1.4832177871726056e-23,0.066515776,0.938,3.291951805364078e-94,2.9126115772330535e-20,4.602605668664031e-59,1.2393763047385167e-23,1.938921563382013e-21,0.0,0.0,0.039362147337756934,0.01,0.05,1.1205267782081092e-94,5.976194078602529e-112,0.002,0.0,3.2133997674959333e-18,8.473142403259934e-21,8.46074864021246e-21,4.988069343169164e-41
2.966516048426225e-23,0.066515776,0.938,1.0535057861639365e-92,5.825381182330976e-20,3.682259337356341e-58,2.4788198535841982e-23,3.877948325698596e-21,0.0,0.0,0.039362147337756934,0.01,0.05,1.7928949560082555e-93,3.825063816671065e-110,0.002,0.0,6.426973882528135e-18,1.69467445288575e-20,1.69219563303213e-20,1.9953089270245016e-40
5.933112570933464e-23,0.066515776,0.938,3.371348455248036e-91,1.1650920392526845e-19,2.9458773927550207e-57,4.9577069512486074e-23,7.75600185033171e-21,0.0,0.0,0.03936214733775693,0.01,0.049999999999999996,2.8686736183519637e-92,2.448136721285418e-108,0.002,0.0,1.2854122112539388e-17,3.389394878005289e-20,3.384437171053897e-20,7.98139809059739e-40
1.1866305615947942e-22,0.066515776,0.938,1.0788522965043701e-89,2.3301998812918676e-19,2.356729883777772e-56,9.915481146469609e-23,1.5512108899597733e-20,0.0,0.0,0.03936214733775691,0.01,0.04999999999999998,4.58991114047745e-91,1.5668381835421495e-106,0.002,0.0,2.5708418572349292e-17,6.778835728244475e-20,6.76892024709743e-20,3.1925917131038635e-39
2.3732691705976903e-22,0.066515776,0.938,3.452360614667045e-88,4.660415565370275e-19,1.8853950950101463e-55,1.9831029536480352e-22,3.102432299812894e-20,0.0,0.0,0.039362147337756885,0.01,0.049999999999999954,7.343884506049931e-90,1.0027862558412403e-104,0.002,0.0,5.1417011491118683e-17,1.3557717428723267e-19,1.3537886399184488e-19,1.277043180704198e-38
4.7465463886034825e-22,0.066515776,0.938,1.1047607193571052e-86,9.320846933527248e-19,1.508320551352208e-54,3.96621263147768e-22,6.204875119518803e-20,0.0,0.0,0.03936214733775683,0.01,0.049999999999999906,1.1750236555971306e-88,6.417863456924652e-103,0.002,0.0,1.0283419732525577e-16,2.7115480829682536e-19,2.7075818703358554e-19,5.108185714257109e-38
9.493100824615065e-22,0.066515776,0.938,3.5352428188472217e-85,1.864170966984184e-18,1.2066582314367623e-53,7.932431986446952e-22,1.2409760758929286e-19,0.0,0.0,0.039362147337756725,0.01,0.0499999999999998,1.8800395570627588e-87,4.107442667427082e-101,0.0019999999999999996,0.0,2.0566856897992323e-16,5.423100763160783e-19,5.415168331170656e-19,2.0432768843826823e-37
1.898620969663823e-21,0.066515776,0.938,1.1312790651334232e-83,3.728343514247357e-18,9.653273016350017e-53,1.5864870693625435e-21,2.4819532037744933e-19,0.0,0.0,0.03936214733775652,0.009999999999999998,0.04999999999999959,3.0080646590792128e-86,2.6287665256685276e-99,0.0019999999999999987,0.0,4.113373122348313e-16,1.0846206123548545e-18,1.0830341252840198e-18,8.173112738004378e-37
3.797242744068456e-21,0.066515776,0.938,3.6200951919243006e-82,7.456688608774728e-18,7.7226212845115e-52,3.1729748096942137e-21,4.963907459535493e-19,0.0,0.0,0.0393621473377561,0.009999999999999997,0.049999999999999184,4.812904552887106e-85,1.682411607520744e-97,0.0019999999999999974,0.0,8.2267479852694e-16,2.169241684433487e-18,2.1660687096179046e-18,3.2692461377856305e-36
7.594486292877723e-21,0.066515776,0.938,1.1584308123960103e-80,1.4913378797833567e-17,6.17809818496272e-51,6.345950285941448e-21,9.927815971048965e-19,0.0,0.0,0.03936214733775527,0.009999999999999993,0.04999999999999836,7.700648176547131e-84,1.0767437602572164e-95,0.001999999999999995,0.0,1.6453497702403275e-15,4.338483828595075e-18,4.332137878285582e-18,1.3076986656221467e-35
