Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),N2O_X(16),N2_X(17),H2O_X(18),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),HX(20)
0.0,0.08314471999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.05898523875172376,0.88,0.0,0.0,0.0,0.066,0.0,0.0
5.404493544114805e-28,0.08314471999999999,2.265000677832491e-22,6.04613055723279e-23,4.5907419156993605e-24,2.7550918931952114e-59,2.2283445158675335e-44,4.2883862122595624e-65,2.670228219475981e-104,1.89978000480611e-83,-1.0850477650697558e-190,-2.4902264127903905e-213,-4.4543633904319147e-94,0.054,0.0,0.0,0.05898523875172376,0.88,-1.2897012872754088e-93,-2.1538526614486026e-123,7.024328575868669e-123,0.066,-1.4744765517931936e-188,4.5907419156993605e-24
1.5132581923521452e-27,0.08314471999999999,6.342001897930975e-22,1.6929165560251811e-22,1.2854077363958207e-23,4.163494961197561e-58,1.345920087583992e-43,5.091172111194559e-64,1.538274423964628e-102,5.973212366591589e-82,3.63565827087152e-188,1.4994254110208949e-210,4.401205496060747e-93,0.054,0.0,0.0,0.05898523875172376,0.88,1.2743074383687996e-92,7.064936901364789e-113,7.354122935800608e-121,0.066,4.940513259728229e-186,1.2854077363958207e-23
3.458875868233475e-27,0.08314471999999999,1.449600433812794e-21,3.8695235566289854e-22,2.9380748260475904e-23,4.478897894490279e-57,6.480025852142818e-43,4.998542969009768e-63,6.898471164518725e-101,1.3325908208580281e-80,3.949457174493826e-185,3.264595705538036e-207,2.42746078022635e-91,0.054,0.0,0.0,0.05898523875172376,0.88,7.028376908925805e-91,1.3625235453025993e-111,6.606528185239993e-119,0.066,5.36693607755014e-183,2.9380748260475904e-23
7.350111219996134e-27,0.08314471999999999,3.0804009218521857e-21,8.222737557836594e-22,6.243409005351128e-23,4.116878811727402e-56,2.8299975351518008e-42,4.421154649391167e-62,2.595418605620962e-99,2.495795126822553e-79,2.8994743272916977e-182,4.794436381444372e-204,9.55364480947589e-90,0.054,0.0,0.0,0.05898523875172376,0.88,2.7661261124081185e-89,2.332438454221495e-110,4.981889524993404e-117,0.066,3.940109408957949e-180,6.243409005351128e-23
1.5132581923521453e-26,0.08314471999999999,6.342001897930965e-21,1.6929165560251811e-21,1.2854077363958204e-22,3.522076498675163e-55,1.1814682623129968e-41,3.716246877364831e-61,8.987188679573914e-98,4.310865421175121e-78,1.7666331026579313e-179,5.843261497487037e-201,3.3755179726451753e-88,0.054,0.0,0.0,0.05898523875172376,0.88,9.773347419377028e-88,3.8504915390313036e-109,3.454236193719733e-115,0.066,2.4006860984498636e-177,1.2854077363958204e-22
3.069752333057209e-26,0.08314471999999999,1.2865203850088504e-20,3.434202156508224e-21,2.607541408117236e-22,2.912120959390726e-54,4.826683355149975e-41,3.046803716243008e-60,2.9901076795640385e-96,7.162567371728774e-77,9.851326554646274e-177,6.5172853386285326e-198,1.1340328801642123e-86,0.054,0.0,0.0,0.05898523875172376,0.88,3.2834361208448426e-86,6.255325410960468e-108,2.2998946698800233e-113,0.066,1.3387014359713842e-174,2.607541408117236e-22
6.182740614467336e-26,0.08314471999999999,2.591160775440351e-20,6.916773357474311e-21,5.251808751560068e-22,2.3680884008960166e-53,1.9510225841790036e-40,2.4673806431344886e-59,9.755264199648576e-95,1.1676792554581822e-75,5.261738412880559e-174,6.962231261610813e-195,3.717517045709854e-85,0.054,0.0,0.0,0.05898523875172376,0.88,1.0763559088671768e-84,1.008411851021441e-106,1.5011470696110834e-111,0.066,7.150201276450983e-172,5.251808751560068e-22
1.2408717177287592e-25,0.08314471999999999,5.2004415563033233e-20,1.3881915759406485e-20,1.0540343438445729e-21,1.909949085216466e-52,7.84497600189404e-40,1.9859625988594324e-58,3.1519309183836046e-93,1.8858051165946778e-74,2.7513006663086773e-171,7.281083062020842e-192,1.203980010464761e-83,0.054,0.0,0.0,0.05898523875172376,0.88,3.485958480183655e-83,1.6195064567873617e-105,9.701923197654267e-110,0.066,3.73875552167864e-169,1.0540343438445729e-21
2.4860670302928104e-25,0.08314471999999999,1.041900311802915e-19,2.781220056327083e-20,2.1117412812217055e-21,1.534174972732829e-51,3.146186251887689e-39,1.5936099140292416e-57,1.0134846254528664e-91,3.031376647871638e-73,1.4235299361971417e-168,7.534578182141943e-189,3.875893690169293e-82,0.054,0.0,0.0,0.05898523875172376,0.88,1.1222116982609971e-81,2.5960482936765934e-104,6.239673561185091e-108,0.066,1.9344415821518646e-166,2.1117412812217055e-21
