Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),N2O_X(16),N2_X(17),H2O_X(18),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),HX(20),NOX2(52)
0.0,0.08314471999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.05898523875172376,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0
5.525958003215813e-28,0.08314471999999999,2.315905925465902e-22,6.182015626165489e-23,4.693917537820319e-24,2.945057818036625e-59,2.3296329029524216e-44,4.584074042805208e-65,2.984085564482022e-104,2.0764124551239064e-83,-1.3253239786225267e-190,-3.1100302382331997e-213,-4.97792730473885e-94,0.054,0.0,0.0,0.05898523875172376,0.88,-1.4412921780051128e-93,-4.766033266789907e-123,8.026390521273603e-123,0.066,-1.800989037457614e-188,4.693917537820319e-24,1.9357425421847968e-103
1.5472682409004279e-27,0.08314471999999999,6.484536591304528e-22,1.7309643753263366e-22,1.3142969105896893e-23,4.450571437623221e-58,1.407098273383265e-43,5.442212703618352e-64,1.7190824530830792e-102,6.528573021695674e-82,4.440749282712156e-188,1.8726242498585245e-210,4.918520958016064e-93,0.054,0.0,0.0,0.05898523875172376,0.88,1.4240889138388031e-92,7.721800869225704e-113,8.403231948656211e-121,0.066,6.0345552523877705e-186,1.3142969105896893e-23,1.177606659389084e-101
3.536613122058121e-27,0.08314471999999999,1.4821797922981778e-21,3.956490000745913e-22,3.004107224205004e-23,4.7877216657615333e-57,6.774572481785678e-43,5.343196704293776e-63,7.7093141146717e-101,1.4564887277678408e-80,4.824036746848307e-185,4.077135837030671e-207,2.7127833255964275e-91,0.054,0.0,0.0,0.05898523875172376,0.88,7.8544889172878e-91,1.4892044534378273e-111,7.548988395119239e-119,0.066,6.555406404532528e-183,3.004107224205004e-23,5.316279368719866e-100
7.515302884373507e-27,0.08314471999999999,3.1496320586336265e-21,8.407541251585065e-22,6.383727851435634e-23,4.400741063006688e-56,2.958633786749612e-42,4.725996975170511e-62,2.900482847915936e-99,2.727842194400218e-79,3.541542567204373e-182,5.9877455438584415e-204,1.0676575552688249e-89,0.054,0.0,0.0,0.05898523875172376,0.88,3.0912552321541623e-89,2.5492974014112722e-110,5.692585448033155e-117,0.066,4.812618984048151e-180,6.383727851435634e-23,2.0073259352221264e-98
1.547268240900428e-26,0.08314471999999999,6.484536591304519e-21,1.7309643753263368e-21,1.3142969105896892e-22,3.764926630956305e-55,1.235171365145407e-41,3.9724852203104076e-61,1.0043538471834466e-97,4.711669024383675e-78,2.1578416041775557e-179,7.297617531952904e-201,3.772274711054531e-88,0.054,0.0,0.0,0.05898523875172376,0.88,1.0922101928079927e-87,4.2084917854288246e-109,3.94700335922157e-115,0.066,2.932301185812008e-177,1.3142969105896892e-22,6.964346166084779e-97
3.138744145826582e-26,0.08314471999999999,1.3154345656646283e-20,3.5113848756619975e-21,2.666145161481941e-22,3.112914145020366e-54,5.046078053111344e-41,3.256883391058405e-60,3.3415634839049624e-96,7.828508552984572e-77,1.2032833678887893e-176,8.139402244490977e-198,1.267326553342476e-86,0.054,0.0,0.0,0.05898523875172376,0.88,3.669369607702601e-86,6.836915583467135e-108,2.627988208906016e-113,0.066,1.6351474733333509e-174,2.666145161481941e-22,2.3194180464871022e-95
6.321695955678891e-26,0.08314471999999999,2.6493963787329742e-20,7.072225876333319e-21,5.369841663266444e-22,2.531370084761055e-53,2.039705428914418e-40,2.637508610483391e-59,1.0901893215479388e-94,1.2762444754904547e-75,6.426913455004412e-174,8.695092789825427e-195,4.154472192429292e-85,0.054,0.0,0.0,0.05898523875172376,0.88,1.2028702596022294e-84,1.1021691512197186e-106,1.7152945525882067e-111,0.066,8.733563165658936e-172,5.369841663266444e-22,7.570966810385553e-94
1.2687599575383508e-25,0.08314471999999999,5.317320004869635e-20,1.4193907877675962e-20,1.0777234666835453e-21,2.041641678538823e-52,8.201565820161997e-40,2.1228963877805043e-58,3.522407347617096e-93,2.061138236939236e-74,3.360556888879861e-171,9.093305070626634e-192,1.3454952359190338e-83,0.054,0.0,0.0,0.05898523875172376,0.88,3.895696346791273e-83,1.770080404215952e-105,1.108595976200926e-109,0.066,4.566676691617288e-169,1.0777234666835453e-21,2.4468056487181355e-92
2.5419406814792743e-25,0.08314471999999999,1.0653167257142834e-19,2.843727188036125e-20,2.1592020673973467e-21,1.6399576254397942e-51,3.289194717882619e-39,1.7034906558496308e-57,1.1326091160726765e-91,3.3132195180250267e-73,1.7387606495000496e-168,9.409893748465746e-189,4.331464351652239e-82,0.054,0.0,0.0,0.05898523875172376,0.88,1.2541159162089226e-81,2.8374164201548235e-104,7.129799795168895e-108,0.066,2.3628100937031148e-166,2.1592020673973467e-21,7.868560278249962e-91
