Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),N2O_X(16),N2_X(17),H2O_X(18),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),HX(20),NOX2(52),N2X2(77)
0.0,0.08314471999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.05898523875172376,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0
5.644809406723242e-28,0.08314471999999999,2.3657160524108804e-22,6.314977410031208e-23,4.7948735506950866e-24,3.1391996362077e-59,2.430921290037309e-44,4.88626180142975e-65,3.319095789127746e-104,2.2608952269563438e-83,-1.6050405347434204e-190,-1.959004942589287e-180,-5.536777559598946e-94,0.054,0.0,0.0,0.05898523875172376,0.88,-1.6030997417386698e-93,-5.2113513667489855e-123,9.119488998962206e-123,0.066,-2.1811543263222976e-188,4.7948735506950866e-24,2.1530598844327158e-103,-1.3562681445779577e-132
1.5805466338825079e-27,0.08314471999999999,6.624004946750466e-22,1.768193674808738e-22,1.342564594194624e-23,4.743958542543464e-58,1.4682764591825372e-43,5.800970010657407e-64,1.91207631409109e-102,7.1086163716211e-82,5.3781650832898566e-188,5.68909420197586e-170,5.4707016791185714e-93,0.054,0.0,0.0,0.05898523875172376,0.88,1.5839651418991552e-92,8.407858791442051e-113,9.547651718854527e-121,0.066,7.308371136133874e-186,1.342564594194624e-23,1.309811403543066e-101,2.1881677035065275e-122
3.612678020302875e-27,0.08314471999999999,1.514058273542963e-21,4.0415855424199732e-22,3.068719072444855e-23,5.10333412447561e-57,7.069119111428533e-43,5.695426755746544e-63,8.574805059291904e-101,1.5858932083084775e-80,5.8423336316421396e-185,2.251255848733435e-168,3.017335616707796e-91,0.054,0.0,0.0,0.05898523875172376,0.88,8.736278001619873e-91,1.6215156241591245e-111,8.577070401444288e-119,0.066,7.939167170163155e-183,3.068719072444855e-23,5.913114779002188e-100,4.22003771421645e-121
7.67694079314361e-27,0.08314471999999999,3.217373831278795e-21,8.588369277642443e-22,6.521028028945317e-23,4.6908432877411345e-56,3.087270038347422e-42,5.037540466802074e-62,3.2261073590609677e-99,2.970202464980372e-79,4.28911682633605e-182,7.737980843509585e-167,1.1875187919777081e-89,0.054,0.0,0.0,0.05898523875172376,0.88,3.4382969236934646e-89,2.775794524031931e-110,6.467847557624805e-117,0.066,5.828500062793125e-180,6.521028028945317e-23,2.2326796299817635e-98,7.224079376199976e-120
1.5805466338825078e-26,0.08314471999999999,6.624004946750455e-21,1.768193674808738e-21,1.342564594194624e-22,4.013115191912258e-55,1.2888744679778171e-41,4.234356296930308e-61,1.117108256588215e-97,5.130286121068067e-78,2.6133339269509525e-179,2.557889899210327e-165,4.195771473227709e-88,0.054,0.0,0.0,0.05898523875172376,0.88,1.2148278495050732e-87,4.5824031538884775e-109,4.484538048646296e-115,0.066,3.5512717092872777e-177,1.342564594194624e-22,7.746202820539127e-97,1.1925826581462904e-118
3.2062517430188014e-26,0.08314471999999999,1.3437267177693754e-20,3.586907168897727e-21,2.723488176794809e-22,3.318121246714382e-54,5.265472751072714e-41,3.4715811212554467e-60,3.71670618701984e-96,8.524047120073952e-77,1.4572808028546396e-176,8.315226413690343e-164,1.4096037564038855e-86,0.054,0.0,0.0,0.05898523875172376,0.88,4.081313669215099e-86,7.444354208085203e-108,2.985888797560356e-113,0.066,1.9803057716778492e-174,2.723488176794809e-22,2.579808956252423e-95,1.937413063092769e-117
6.45766196129139e-26,0.08314471999999999,2.7063791639580273e-20,7.224334157075701e-21,5.485335341995179e-22,2.6982410918652723e-53,2.128388273649833e-40,2.811376398811523e-59,1.2125801038755403e-94,1.3896348164130504e-75,7.783551054620053e-174,2.681652479124438e-162,4.620876596108885e-85,0.054,0.0,0.0,0.05898523875172376,0.88,1.3379112375328228e-84,1.2000934425379203e-106,1.9488971722675638e-111,0.066,1.057710440576402e-171,5.485335341995179e-22,8.420926108816118e-94,3.1232752339008414e-116
1.2960482397836564e-25,0.08314471999999999,5.431684056335299e-20,1.4499188133431653e-20,1.1009029672395918e-21,2.176229191085751e-52,8.558155638429948e-40,2.2628403099827292e-58,3.917852599584191e-93,2.2442639404102166e-74,4.069926606365647e-171,8.614532605346765e-161,1.496548095331763e-83,0.054,0.0,0.0,0.05898523875172376,0.88,4.333049120452226e-83,1.9273465270858086e-105,1.2595735000412343e-109,0.066,5.530642561164136e-169,1.1009029672395918e-21,2.7214978068884255e-92,5.015970810808759e-115
2.5966123270926917e-25,0.08314471999999999,1.0882293841089716e-19,2.904889608614355e-20,2.2056418333197396e-21,1.7480656347003955e-51,3.432203183877549e-39,1.8157868400565758e-57,1.2597621830195234e-91,3.60758873796301e-73,2.1057903377630464e-168,2.761969515103537e-159,4.8177388911197216e-82,0.054,0.0,0.0,0.05898523875172376,0.88,1.394910019655431e-81,3.0895120189209774e-104,8.100793323614382e-108,0.066,2.861568477613564e-166,2.2056418333197396e-21,8.751929092466143e-91,8.040537549056321e-114
