Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),N2O_X(16),N2_X(17),H2O_X(18),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),HX(20),NOX2(52),N2X2(77),NO2JX(53)
0.0,0.08314471999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.05898523875172376,0.88,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0
5.761209475722741e-28,0.08314471999999999,2.41449883529915e-22,6.445196829907884e-23,4.893747325154155e-24,3.337429421151553e-59,2.532209677122197e-44,5.194812570813987e-65,3.675713940287419e-104,2.4532283371852147e-83,-1.9287054575298237e-190,2.3745994586937405e-180,-6.131673242376802e-94,0.054,0.0,0.0,0.05898523875172376,0.88,-1.7753437703129419e-93,6.189288264804124e-123,1.0307582186804807e-122,0.066,-2.6209928994810763e-188,4.893747325154155e-24,2.3843940441269256e-103,1.6107789116388014e-132,-2.7061669171787612e-123
1.6131386532023675e-27,0.08314471999999999,6.7605967388376225e-22,1.8046551123742075e-22,1.3702492510431633e-23,5.0435233497561736e-58,1.5294546449818101e-43,6.167281484070376e-64,2.117518138584951e-102,7.713342418056049e-82,6.462692293632334e-188,6.300355313352426e-170,6.058497650700245e-93,0.054,0.0,0.0,0.05898523875172376,0.88,1.7541532713700648e-92,9.123110668981766e-113,1.0791526196451244e-120,0.066,8.78213371601732e-186,1.3702492510431633e-23,1.4505432572698012e-101,2.3743139147040423e-122,1.402386790057136e-121
3.6871740644625544e-27,0.08314471999999999,1.5452792545914561e-21,4.124925971141046e-22,3.1319982880986584e-23,5.425592271122966e-57,7.36366574107139e-43,6.055073532540815e-63,9.496119538166375e-101,1.7208042624968227e-80,7.020463546090468e-185,2.493140602358571e-168,3.3415313071149413e-91,0.054,0.0,0.0,0.05898523875172376,0.88,9.674941838802339e-91,1.759457057476172e-111,9.69449689121361e-119,0.066,9.540132313653528e-183,3.1319982880986584e-23,6.54844563760739e-100,4.579033978133021e-121,1.4718619839288828e-119
7.835244886982927e-27,0.08314471999999999,3.283718416006843e-21,8.765467688674722e-22,6.65549636220965e-23,4.987054044445366e-56,3.2159062899452323e-42,5.355643968006453e-62,3.5727344134934526e-99,3.222875938564705e-79,5.1540345274972676e-182,8.569383276396862e-167,1.3151109907335302e-89,0.054,0.0,0.0,0.05898523875172376,0.88,3.80772255104424e-89,3.0119298220844443e-110,7.310483079279236e-117,0.066,7.003840654300555e-180,6.65549636220965e-23,2.472568473561141e-98,7.83862779536841e-120,1.1751256357729193e-117
1.6131386532023673e-26,0.08314471999999999,6.760596738837612e-21,1.8046551123742075e-21,1.370249251043163e-22,4.26652973055734e-55,1.3425775708102265e-41,4.501741456866386e-61,1.2371352430968423e-97,5.566716711228468e-78,3.1403232687601205e-179,2.8327207534448983e-165,4.6465834670435903e-88,0.054,0.0,0.0,0.05898523875172376,0.88,1.3453542555578163e-87,4.972225644410359e-109,5.068786676077928e-115,0.066,4.267400000682171e-177,1.370249251043163e-22,8.578488658505468e-97,1.2940350023320287e-118,8.370572463733872e-116
3.2723669822105164e-26,0.08314471999999999,1.3714353384499127e-20,3.660871799387678e-21,2.7796484806875596e-22,3.527649287820563e-54,5.484867449034083e-41,3.6907996301019756e-60,4.116045320657873e-96,9.249183072996928e-77,1.751147365114775e-176,9.208650629951152e-164,1.5610577351455605e-86,0.054,0.0,0.0,0.05898523875172376,0.88,4.519827822005379e-86,8.077641284814699e-108,3.374892394522625e-113,0.066,2.3796424332466733e-174,2.7796484806875596e-22,2.8569948896305755e-95,2.1022277160396407e-117,5.6470963223138316e-114
6.590823640226815e-26,0.08314471999999999,2.762186667582208e-20,7.37330517341462e-21,5.598446939976353e-22,2.868625815138951e-53,2.2170711183852477e-40,2.988905230899111e-59,1.342865002326618e-94,1.5078502782259694e-75,9.35313557825309e-174,2.9697809251061856e-162,5.1173637432784555e-85,0.054,0.0,0.0,0.05898523875172376,0.88,1.4816622599695488e-84,1.3021847249760458e-106,2.2028008041580437e-111,0.066,1.2710020252837888e-171,5.598446939976353e-22,9.325707161585009e-94,3.388970522928633e-116,3.709911821291669e-112
1.3227736956259413e-25,0.08314471999999999,5.543689325846765e-20,1.47981719214685e-20,1.1236043858553939e-21,2.3136506430164435e-52,8.91474545669791e-40,2.4057309587061757e-58,4.338803781655977e-93,2.4351822270076246e-74,4.8906437535057305e-171,9.54011558524557e-161,1.657343753901774e-83,0.054,0.0,0.0,0.05898523875172376,0.88,4.7986108287775865e-83,2.09130482539694e-105,1.423671581173642e-109,0.066,6.645918983772281e-169,1.1236043858553939e-21,3.0139074087547655e-92,5.442676661139032e-115,2.405478007310848e-110
2.6501563588324606e-25,0.08314471999999999,1.1106694642375746e-19,2.9647905417576265e-20,2.251123769570911e-21,1.8584500181902697e-51,3.575211649872482e-39,1.930447586718447e-57,1.3951165299716572e-91,3.9144843076855924e-73,2.530431469074176e-168,3.058727574048458e-159,5.33537778340959e-82,0.054,0.0,0.0,0.05898523875172376,0.88,1.5447852400044566e-81,3.3523350899750546e-104,9.156170115847544e-108,0.066,3.438615325148788e-166,2.251123769570911e-21,9.692274550402236e-91,8.724541611726588e-114,1.5495477685822871e-108
5.3049216852455e-25,0.08314471999999999,2.223270527543318e-19,5.93473724097918e-20,4.506162537001946e-21,1.4897777195484666e-50,1.4319494804443026e-38,1.546707219059017e-56,4.475121980982819e-90,6.277767320847621e-72,1.3023902392957236e-165,9.797353174496207e-158,1.7124388306099348e-80,0.054,0.0,0.0,0.05898523875172376,0.88,4.958131066630398e-80,5.368734035133347e-103,5.874285492583377e-106,0.066,1.7698242769198677e-163,4.506162537001946e-21,3.109193738186399e-89,1.3972273750767852e-112,9.949366336178487e-107
1.061445233807158e-24,0.08314471999999999,4.448472654154592e-19,1.1874630639422287e-19,9.016240071864015e-21,1.1930304385345168e-49,5.731529689828102e-38,1.2383062394532865e-55,1.4337613052827436e-88,1.0056116970563845e-70,6.685728145972758e-163,3.136661014406453e-156,5.488006981611132e-79,0.054,0.0,0.0,0.05898523875172376,0.88,1.5889769283397518e-78,8.593972768728904e-102,3.7641370973692876e-104,0.066,9.08526774025518e-161,9.016240071864015e-21,9.961703436461021e-88,2.236604380195415e-111,6.377938175606768e-105
2.1233513643723733e-24,0.08314471999999999,8.898876907376291e-19,2.37544174363085e-19,1.803639514158816e-20,9.549078921852495e-49,2.2933584422503457e-37,9.910213381102112e-55,4.590793746868582e-87,1.6099144688678355e-69,3.4275777353580676e-160,1.0039728100481413e-154,1.7574757923846886e-77,0.054,0.0,0.0,0.05898523875172376,0.88,5.088529399915298e-77,1.3753555079958165e-100,2.4105190117937813e-102,0.066,4.65775170332694e-158,1.803639514158816e-20,3.1897119015968636e-86,3.5793994929165235e-110,4.085193678473745e-103
4.247163625502804e-24,0.08314471999999999,1.7799685413816295e-18,4.751399103008092e-19,3.607670528103646e-20,7.641197775329092e-48,9.174927114371714e-37,7.929676412818589e-54,1.469495365122065e-85,2.5766119983420852e-68,1.7560688791087485e-157,3.2130990851630467e-153,5.626025127206438e-76,0.054,0.0,0.0,0.05898523875172376,0.88,1.6289381847532392e-75,2.200824704799428e-99,1.5432031446123467e-100,0.066,2.38633039626776e-155,3.6076705281036466e-20,1.0210226125458615e-84,5.727705242130831e-109,2.6155847141717217e-101
8.494788147763666e-24,0.08314471999999999,3.5601302426682716e-18,9.503313821762578e-19,7.215732555993311e-20,6.113732169883983e-47,3.670269536114519e-36,6.344343477808711e-53,4.703091478192674e-84,4.123178374023169e-67,8.99401532777434e-155,1.0282535053715334e-151,1.800664527238595e-74,0.054,0.0,0.0,0.05898523875172376,0.88,5.2135764421810416e-74,3.52152424130697e-98,9.878007525586377e-99,0.066,1.2222010799227339e-152,7.215732555993313e-20,3.2677761392135126e-83,9.164861440684482e-108,1.6743137436767757e-99
1.699003719228539e-23,0.08314471999999999,7.120453645236125e-18,1.9007143259271543e-18,1.4431856611772665e-19,4.891295334646537e-46,1.4681675546629955e-35,5.075715734192317e-52,1.5051022925333536e-82,6.597564779104435e-66,4.605689121959172e-152,3.290510242902716e-150,5.762664923115871e-73,0.054,0.0,0.0,0.058985238751723755,0.88,1.668500358302961e-72,5.634602557067154e-97,6.32240722824743e-97,0.066,6.258693532351807e-150,1.443185661177267e-19,1.0457689766174473e-81,1.4664205421327289e-106,1.0716694578252001e-97
3.398053528132884e-23,0.08314471999999999,1.424110045035009e-17,3.801480213428948e-18,2.8864104723331456e-19,3.913160110982389e-45,5.872789701349135e-35,4.06066897079359e-51,4.816508175421894e-81,1.0556487167031072e-64,2.358305478243583e-149,1.0529792170256954e-148,1.844138929743423e-71,0.054,0.0,0.0,0.05898523875172375,0.88,5.339450594766962e-71,9.015495108324091e-96,4.0464950050116936e-95,0.06599999999999999,3.204713262930517e-147,2.886410472333147e-19,3.3465897104785413e-80,2.3463072522667776e-105,6.859032269550324e-96
6.796153145941574e-23,0.08314471999999999,2.848239406049108e-17,7.603011988432531e-18,5.772860094644937e-19,3.130577626831764e-44,2.3491397774003684e-34,3.2485737306660254e-50,1.5413115511636286e-79,1.6890686290628974e-63,1.2075015097416498e-146,3.36955960652589e-147,5.901382425768123e-70,0.054,0.0,0.0,0.05898523875172373,0.88,1.7086641030947657e-69,1.4424896987686552e-94,2.5898062057584157e-93,0.06599999999999998,1.6408803130573045e-144,5.772860094644943e-19,1.0709293455174903e-78,3.754119801289071e-104,4.3898919327124386e-94
1.3592352381558955e-22,0.08314471999999999,5.696498128042533e-17,1.5206075538439688e-17,1.154575933926866e-18,2.5044819168091506e-43,9.396606904404222e-34,2.5988744064730336e-49,4.932243260938948e-78,2.7025343528547924e-62,6.182531234653185e-144,1.0782636418832532e-145,1.8884644326051113e-68,0.054,0.0,0.0,0.05898523875172369,0.88,5.4677889911353294e-68,2.307991903420787e-93,1.6574917809014156e-91,0.06599999999999995,8.401479064349361e-142,1.1545759339268677e-18,3.4270069273655615e-77,6.006616447484116e-103,2.8095664473420966e-92
2.7184750852793717e-22,0.08314471999999999,1.139301557189028e-16,3.0412202638453965e-17,2.309155782851665e-18,2.003593459573802e-42,3.758652321438404e-33,2.0791056943347868e-48,1.5783252515190266e-76,4.3240746024956916e-61,3.165485349809588e-141,3.4504534576533244e-144,6.043121474558431e-67,0.054,0.0,0.0,0.058985238751723616,0.88,1.7497026949956875e-66,3.692793754558814e-92,1.060799799036989e-89,0.06599999999999989,4.3016013022109845e-139,2.3091557828516726e-18,1.0966475004319281e-75,9.610613191645719e-102,1.798133921966298e-90
5.436954779526324e-22,0.08314471999999999,2.278605045902937e-16,6.082445683848238e-17,4.618315480701484e-18,1.6028779380496817e-41,1.5034628410687473e-32,1.6632870237099848e-47,5.050652660433366e-75,6.918535076757151e-60,1.6207337005104994e-138,1.104148271928531e-142,1.9338045181924935e-65,0.054,0.0,0.0,0.05898523875172347,0.88,5.5990649723616275e-65,5.908475377035508e-91,6.789134907128077e-88,0.06599999999999978,2.2024311609767564e-136,4.618315480701514e-18,3.509280456381195e-74,1.537702520983839e-100,1.1508093570058555e-88
1.0873914168020229e-21,0.08314471999999999,4.557212023108195e-16,1.2164896523853857e-16,9.236634876401996e-18,1.2823036184916096e-40,6.01385519371121e-32,1.3306306071864628e-46,1.6162107499674505e-73,1.1069668700659312e-58,8.298146164947488e-136,3.533289755107867e-141,6.188183491593387e-64,0.054,0.0,0.0,0.05898523875172317,0.88,1.7917034067651414e-63,9.453564906963413e-90,4.345051527047439e-86,0.06599999999999955,1.1276476710772421e-133,9.236634876402117e-18,1.1229710995444577e-72,2.4603347946844385e-99,7.365191559185986e-87
2.174783294500804e-21,0.08314471999999999,9.114425976628463e-16,2.432979820386485e-16,1.8473273667806533e-17,1.0258434018453148e-39,2.4055428469298e-31,1.0645048825099878e-45,5.171877448805249e-72,1.7711480007725406e-57,4.2486239130028286e-133,1.1306617083053531e-139,1.9802201621575623e-62,0.054,0.0,0.0,0.058985238751722575,0.8799999999999999,5.733455085762941e-62,1.5125707319429882e-88,2.7808346429067596e-84,0.06599999999999907,5.773563801854675e-131,1.847327366780701e-17,3.593509688632195e-71,3.9365674255158286e-98,4.7137263389149133e-85
4.349567049898366e-21,0.08314471999999999,1.822885388010802e-15,4.865960156388585e-16,3.6946551250629634e-17,8.206749240267727e-39,9.622172955072913e-31,8.516040670695707e-45,1.6550012785481752e-70,2.8338376159734086e-56,2.1752637035869697e-130,3.618173726107795e-138,6.336706827500396e-61,0.054,0.0,0.0,0.05898523875172138,0.8799999999999998,1.8347062963497275e-60,2.420113456675266e-87,1.7797347120287984e-82,0.06599999999999814,2.9560669098926683e-128,3.6946551250631563e-17,1.1499234504468407e-69,6.298607348466415e-97,3.0167860607457864e-83
8.699134560693488e-21,0.08314471999999999,3.6457709672823204e-15,9.73192082839239e-16,7.389310641633197e-17,6.565400198090958e-38,3.848869518270222e-30,6.81283321851848e-44,5.296004928713959e-69,4.534140862318461e-55,1.113701448378536e-127,1.1578515816628696e-136,2.0277465521525225e-59,0.054,0.0,0.0,0.058985238751719,0.8799999999999996,5.871061215029016e-59,3.8721817850646144e-86,1.1390303983794906e-80,0.06599999999999628,1.5135071040206392e-125,7.389310641633968e-17,3.679755619933411e-68,1.0078088337821039e-95,1.9307434726927534e-81
1.7398269582283733e-20,0.08314471999999999,7.29154212012779e-15,1.946384217239842e-15,1.477862167479612e-16,5.252320473902849e-37,1.5395478927725384e-29,5.450266907944408e-43,1.694721740267359e-67,7.25462600102548e-54,1.4097240989992161e-124,3.401984069068791e-136,6.48878953926616e-58,0.054,0.0,0.0,0.058985238751714235,0.8799999999999991,1.8787397572196605e-57,3.872181785096879e-86,7.289795258356709e-79,0.06599999999999256,1.915915876299875e-122,1.4778621674799199e-16,1.1775219026948257e-66,1.0079312520975367e-95,1.2356759595349015e-79
3.479653962546423e-20,0.08314471999999999,1.458308440302846e-14,3.8927684860404174e-15,2.9557243741211773e-16,4.2018564942212796e-36,6.158191887748936e-29,4.360213756159126e-42,5.423110016030402e-66,1.1607402354396702e-52,7.225302586819309e-122,8.424119995632771e-136,2.0764127354448186e-56,0.054,0.0,0.0,0.0589852387517047,0.8799999999999981,6.011967478065923e-56,3.872181789240745e-86,4.665469351051547e-77,0.06599999999998513,9.820909422511296e-120,2.9557243741224094e-16,3.768070330765147e-65,1.0081760897885818e-95,7.908326720140836e-78
